Word,Meaning
utility,"공공시설, 공공요금"
utility provider,공공 설비 공급자
utilization,"이용, 활용"
utilize,"이용하다, 활용하다"
utterly,"완전히, 철저히"
vacancy,"공석, 결원"
vacant site,공터
vacate,"집을 비우다, 방을 비우다"
vacation,휴가
vacation package,"휴가 패키지, 여행 패키지"
vaccination,"백신, 예방 접종"
vague,"모호한, 애매한"
valid,유효한
valid for,"~에 유효한, ~동안 유효한"
valuable,"소중한, 귀중한"
valuables,귀중품
value,"가치, 가격"
van,대형 밴
vanish,"사라지다, 없어지다"
variable,"변하기 쉬운, 변덕스러운"
variably,"변하기 쉽게, 일정치 않게"
variety,"다양성, 변화, 종류, 품종"
various,"여러 가지의, 가지각색의"
vary,"다르다, 다양하다"
vary from A to B,상황에 따라 다르다
vegetarian,채식주의자
vehicle,"차량, 운송 수단"
vending machine,자동판매기
vendor,"노점상, 가판대, 판매업체"
venture,"모험, (위험을 무릎 쓰고) 가다"
venue,장소
veranda,베란다
verbal,"말의, 구두의"
verify,증명하다
versatile,다재다능한
very,"매우, 대단히, 아주"
vibrant,활기에 넘치는
vicious cycle,악순환
view,"견해, ~이라고 여기다"
vinegar,식초
violate,위반하다
violation,"위반, 위배"
virtual,사실상의
visible,"보이는,알아볼 수 있는"
vision,시력
visit,"방문하다, 방문"
visiting,"방문, 객원의, 방문하는"
visitor,"손님, 방문객"
visual aid,(그림·도표·비디오 등의)시각 보조자료
visualize,시각화하다
vital,필수적인
vitally,"절대적으로, 중대하게"
vivid,"생생한, 선명한"
vocation,"직업, 천직, 사명감"
voice mail,음성 메일
voiced,말로 표명한
void,빈 공간
volatile,(가격 등이) 심하게 변동하는
volume,"(소리)크기,양,책"
voluntarily,자발적으로
volunteer,자원봉사자
vote,"투표하다, 투표"
voucher,(현금 대용의) 상품권
voyage,(원거리) 항해
vulnerable to,~에 취약한
wage,"임금, 급료"
wagon,화물 기차
wait,"기다리다, 기다림"
wait for a table,테이블에 자리가 나기를 기다리다
wait for seats,자리를 기다리다
wait in line,줄을 서서 기다리다
wait on,시중을 들다
waiting room,대기실
waive,"(규칙 등을) 적용하지 않다, 
(권리·청구 등을) 포기하다"
wake-up call,모닝콜
walk through,~을 통과해 걷다
walking distance,걸어서 갈 수 있는 거리
walking tour,도보 여행
walkway,통로
wall,벽
wallpaper,벽지
wane,"감소, 쇠퇴"
wanted,"~을 구하는, ~을 모집하는"
wardrobe,옷장
warehouse,"창고, 저장소"
warm-up,준비 운동; 예행연습
warn,경고하다
warranty,"(품질 등의) 보증, 보증서"
wary of,~을 조심하는
wash the car,세차하다
washing machine,세탁기
waste,"쓰레기, 폐기물"
watch a film,영화를 보다
watch band,(손목시계의) 시곗줄
watch over,"보호하다, 지키다"
water,"물, 물을 주다"
water level,수위(水位)
water the plants,화초에 물을 주다
water-resistant,"내수성의, 물이 잘 스며들지 않는"
watering can,물뿌리개
waterproof,방수의
waterway,"(배가 다닐 수 있는) 수로, 항로"
wear,~을 입다(입은 상태)
wear and tear,"마모, 손상"
wear out,"닳다, 닳게 하다"
wearable,착용할 수 있는
weather forecast,일기 예보
weather report,일기예보
weekly,"매주의, 매주"
weigh,무게가~이다
weight,"무게, 중량"
weight limit,중량 제한
welcome,"반가운, 기꺼이 받아들여지는, 환영하다, 맞이하다"
welding,용접
welfare,복지
well in advance,훨씬 앞서서
well-balanced,균형이 잡힌
well-being,(건강과)행복
well-educated,"잘 교육된, 교양 있는"
well-prepared,잘 준비된
wet,젖은
wheel,바퀴
wheelbarrow,손수레
when it comes to,~에 관해서는
whereabout,"소재, 행방"
whipped cream,휘핑크림
whole,"전체의, 온전한"
wholesale,"도매의, 다량의"
wholesaler,도매업자
widely,널리
wildlife,야생 동물
willing,"기꺼이 하는, 자발적인"
win,"이기다, (상품 등을)받다"
win a contest,대회에서 이기다
win a contract,계약을 따내다
wind a watch,시계 태엽을 감다
window display,쇼윈도의 상품 진열
window-shopping,아이쇼핑
windowsill,창턱
windshield,바람막이 창
windstorm,폭풍
windy,바람 부는
wing,"별관, 부속 건물"
wipe,"(문질러)닦다, 훔쳐내다"
wipe off,~을 없애다
wire money to,~에게 송금하다
wire transfer,전신 송금
with respect to,~에 관해서
with the exception of,~을 제외하고
with the lights on,불을 켠 채로
withdrawal,(예금의)인출
within reason,온당한 범위 내에서
without a doubt,의심할 바 없이
without delay,지연되지 않고
without notice,예고 없이
without respect to,"~을 고려하지 않고, ~을 무시하고"
without the consent of,~의 동의없이
withstand,"견디다, 이겨내다"
witness,"목격자, 증인"
wonder,~을 알고 싶다
wood,"나무, 목재"
woodwork,(가옥 등의) 목조 부분
work additional hours,추가 근무를 하다
work environment,"작업환경, 근무환경"
work history,"이력, 경력"
work in groups,여러 명이 작업하다
work on,~을 수행하다
work overtime,초과 근무를 하다
work properly,제대로 작동하다
work shift,근무 교대
workbench,작업대
workforce,"노동 인구, 직원 수"
working condition,근무조건
workout,운동
workplace,작업장
workshop,"워크숍, 연수"
workstation,"작업대, (사무실의)자리"
worry,걱정하다
worsen,악화되다
worth,"~의 가치가 있는, (얼마) 어치, 가치"
wrap,"싸다, 감싸다"
wrap a present,선물을 포장하다
wrap up,"~을 싸다, ~을 포장하다"
write,"글씨를 쓰다, 저술하다"
write down,적다
write up,"(사건을) 기록하다, 쓰다"
writing pad,(한 장씩 떼어 쓰는 노트)
written authorization,서면 결재
written consent,서면 동의
year-end,연말의
yearn,열망하다
yell,소리치다
yield,"(이윤을) 가져오다, 산출하다"
zealous,"열심인, 열광적인"
